Month,AUS_GDP_AUD,AUS_Turnover_eur,BRA_Produced_automotives,BRA_GDP_eur,BRA_Turnover_eur,CAN_GDP_USD,CAN_Turnover_eur,CHN_GDP_EUR,CHN_Turnover_eur,ESP_GDP_EUR,ESP_Turnover_eur,FRA_GDP_EUR,FRA_Turnover_eur,GBR_GDP_Pfund,GBR_Turnover_eur,GBR_Manufactoring_Production,GER_ifo_Geschaeftsklima,GER_ifo_Geschaeftslage,GER_ifo_Geschaeftserwartungen,GER_GDP_eur,GER_Turnover_eur,ITA_GDP_EUR,ITA_Turnover_eur,JP_Machine_orders_in_mil_Yen,JP_GDP_eur,JP_Turnover_eur,NED_Producer_confidence,NED_GDP_eur,NED_Turnover_eur,SWE_GDP_EUR,SWE_Turnover_eur,USA_GDP_USD,USA_Turnover_eur
01-Jan-2000,286832000000,997148.382347167,NaN,NaN,NaN,133500000000,211805.085232251,NaN,NaN,157400000000,1617084.25971653,362560000000,5201266.45275726,440090000000,3705712.07572889,-0.2,NaN,NaN,NaN,NaN,NaN,304110000000,2252648.70204785,NaN,NaN,NaN,NaN,NaN,NaN,68440000000,1695075.33063859,992600000000,4275445.9527428
01-Feb-2000,286832000000,1419504.48947261,NaN,NaN,NaN,133400000000,242560.803336536,NaN,NaN,157400000000,2050340.59260899,362560000000,5479397.869181,440090000000,3982642.29719347,0.2,NaN,NaN,NaN,NaN,NaN,304110000000,2889690.03142712,NaN,NaN,NaN,NaN,NaN,NaN,68440000000,1722811.75199616,999600000000,4433853.04685035
01-Mar-2000,286832000000,1581804.58342997,NaN,NaN,NaN,134100000000,239530.021704818,NaN,NaN,157400000000,1888240.41218772,362560000000,6326710.47991307,440090000000,4333203.99228033,-0.2,NaN,NaN,NaN,NaN,NaN,304110000000,3360556.64284349,NaN,NaN,NaN,NaN,NaN,NaN,68440000000,2101716.75508301,1009000000000,4277617.60959455
01-Apr-2000,289480000000,1254553.37691603,NaN,NaN,NaN,134600000000,518900.051752476,NaN,NaN,160230000000,1587076.38610673,367610000000,5335927.68872324,447480000000,3615389.94972014,1.6,NaN,NaN,NaN,NaN,NaN,308770000000,3108151.96161034,NaN,NaN,NaN,NaN,NaN,NaN,72340000000,1908211.1929897,1022000000000,3592345.4146331
01-May-2000,289480000000,1628676.76345398,NaN,NaN,NaN,134900000000,348716.985292376,NaN,NaN,160230000000,2027099.48569713,367610000000,6464081.69666922,447480000000,4032238.52802005,0.8,NaN,NaN,NaN,NaN,NaN,308770000000,3397599.23857089,NaN,NaN,NaN,NaN,NaN,NaN,72340000000,2374561.38905395,1023000000000,4239385.82638995
01-Jun-2000,289480000000,1831808.42707531,NaN,NaN,NaN,135400000000,194247.251337457,NaN,NaN,160230000000,2187115.82033397,367610000000,6771709.75135993,447480000000,4092696.87967246,1.1,NaN,NaN,NaN,NaN,NaN,308770000000,3320879.80865814,NaN,NaN,NaN,NaN,NaN,NaN,72340000000,2053462.50702029,1029000000000,4156067.34646225
01-Jul-2000,290041000000,1507173.72588263,NaN,NaN,NaN,135600000000,214708.579335341,NaN,NaN,163230000000,2441965.37441157,372140000000,6439686.15692444,449970000000,4446752.62664211,-0.4,NaN,NaN,NaN,NaN,NaN,311790000000,3940365.51290038,NaN,NaN,NaN,NaN,NaN,NaN,72290000000,1183732.62440294,1024000000000,3467986.9343024
01-Aug-2000,290041000000,1721713.34660646,NaN,NaN,NaN,135900000000,260071.866325728,NaN,NaN,163230000000,1321687.7494186,372140000000,4337013.41583684,449970000000,3924328.86677982,1.4,NaN,NaN,NaN,NaN,NaN,311790000000,1006904.97334072,NaN,NaN,NaN,NaN,NaN,NaN,72290000000,1959623.98220467,1034000000000,4066842.6438842
01-Sep-2000,290041000000,1236139.40733673,NaN,NaN,NaN,136000000000,274716.968713861,NaN,NaN,163230000000,1903978.63789379,372140000000,6505877.83846382,449970000000,3566997.73498117,0.3,NaN,NaN,NaN,NaN,NaN,311790000000,3055036.84323177,NaN,NaN,NaN,NaN,NaN,NaN,72290000000,1813785.30431078,1038000000000,4114957.87399325
01-Oct-2000,288954000000,1386661.64343265,NaN,NaN,NaN,136300000000,194297.480655093,NaN,NaN,166990000000,1975102.23361934,376980000000,6796369.76987038,460560000000,4183515.41641972,1.5,NaN,NaN,NaN,NaN,NaN,318540000000,4104217.27386375,NaN,NaN,NaN,NaN,NaN,NaN,70500000000,2026265.17517491,1044000000000,4319451.45930945
01-Nov-2000,288954000000,1575052.14521225,NaN,NaN,NaN,136300000000,221260.758020224,NaN,NaN,166990000000,2319936.15234433,376980000000,6363051.00095946,460560000000,4395706.48247212,0.5,NaN,NaN,NaN,NaN,NaN,318540000000,3473071.82964386,NaN,NaN,NaN,NaN,NaN,NaN,70500000000,2209308.79334323,1045000000000,3979578.8032501
01-Dec-2000,288954000000,1413033.07114553,NaN,NaN,NaN,136300000000,131688.335484044,NaN,NaN,166990000000,1464636.13174753,376980000000,5186072.05489558,460560000000,2882341.73396662,-0.4,NaN,NaN,NaN,NaN,NaN,318540000000,2695491.7596183,NaN,NaN,NaN,NaN,NaN,NaN,70500000000,1445396.89701658,1043000000000,3172207.12940195
01-Jan-2001,291890000000,1386847.47708642,NaN,NaN,NaN,136300000000,268453.440176232,NaN,NaN,170740000000,2358599.06830139,380670000000,6419163.32302422,582080000000,4112045.33051646,-3.7,NaN,NaN,NaN,NaN,NaN,322330000000,2886385.93158105,NaN,NaN,NaN,NaN,NaN,NaN,68080000000,2060588.48227814,1047000000000,3748408.1549812
01-Feb-2001,291890000000,1526064.07118732,NaN,NaN,NaN,136200000000,140783.360274237,NaN,NaN,170740000000,2127413.88391524,380670000000,6332053.67580809,582080000000,3969413.84383404,-1.8,NaN,NaN,NaN,NaN,NaN,322330000000,3559882.45754095,NaN,NaN,NaN,NaN,NaN,NaN,68080000000,1975872.71421389,1047000000000,3522619.58022885
01-Mar-2001,291890000000,1650946.7662245,NaN,NaN,NaN,136800000000,187583.310549397,NaN,NaN,170740000000,2267237.39759031,380670000000,6590103.46348968,582080000000,4775579.02245131,0.6,NaN,NaN,NaN,NaN,NaN,322330000000,3887492.51779979,NaN,NaN,NaN,NaN,NaN,NaN,68080000000,2050129.58170675,1048000000000,3822747.23942055
01-Apr-2001,294306000000,1207963.72609275,NaN,NaN,NaN,136700000000,189379.888229397,NaN,NaN,173290000000,1948890.48426213,383380000000,6110943.71596878,441620000000,3871069.93943376,2.3,NaN,NaN,NaN,NaN,NaN,324910000000,3165876.91938063,NaN,NaN,NaN,NaN,NaN,NaN,68230000000,1700560.7286528,1056000000000,3418201.216593
